,Sports spot,Sports Address,BiciMAD spot,Address BiciMAD,Available bikes,Distance in m
0,Campo de Golf del Centro Nacional de Golf,CALLE ARROYO DEL MONTE 5,217 - Pedro Rico,Calle Pedro Rico nº 4,0,492.27404044847935
1,Campo de Golf del Club de Golf Olivar de la Hinojosa,CALLE VIA DE DUBLIN  SIN NÚMERO,208 - Plaza de Castilla,Paseo de la Castellana nº 216,4,289.9421864869073
2,Centro Comercial Dreams - Palacio Municipal de Hielo,CALLE SILVANO 77,207 - Remonta,Calle Azucenas nº 1,12,17.304118008352816
3,Centro Deportivo Municipal  María Jesús Rosa (La Vaguada),AVENIDA MONFORTE DE LEMOS 38,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,11,68.17388463020325
4,Centro Deportivo Municipal Alcántara,CALLE ALCANTARA 26,8 - Alonso Martínez,Plaza de Alonso Martínez nº 5,22,26.128396710380912
5,Centro Deportivo Municipal Alfredo Goyeneche,CALLE ARROYO DE POZUELO 99,153 - General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36,0,13.809168519452214
6,Centro Deportivo Municipal Aluche,AVENIDA DE LAS AGUILAS 14,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18,693.462853781879
7,Centro Deportivo Municipal Antiguo Canódromo,CALLE VIA CARPETANA 57,179 - Puente de Vallecas,Avenida de la Albufera nº 6,13,4.885208748281002
8,Centro Deportivo Municipal Antonio Díaz Miguel,CALLE JOAQUIN DICENTA 1,252 - Chamartín,Calle Rodríguez Jaén nº 40,7,38.486948252655566
9,Centro Deportivo Municipal Barajas,AVENIDA LOGROÑO 70,207 - Remonta,Calle Azucenas nº 1,12,1.5442132260650396
10,Centro Deportivo Municipal Barceló,MERCADO BARCELO 6 PLANTA 4º,54 - Barceló,Calle Barceló nº 7,19,3.1050877245143056
11,Centro Deportivo Municipal Blanca Fernández Ochoa (La Mina),CALLE MONSEÑOR OSCAR ROMERO 41,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18,731.1231001932174
12,Centro Deportivo Municipal Casa de Campo,PASEO PUERTA DEL ANGEL 7,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,10,15.096270807087421
13,Centro Deportivo Municipal Cea Bermúdez,CALLE CEA BERMUDEZ 3,140 - Velázquez 130,Calle Velázquez nº 130,4,7.452400693669915
14,Centro Deportivo Municipal Centro Integrado Arganzuela,CALLE CANARIAS 17,121 - Santa María de la Cabeza,Paseo de Santa María de la Cabeza nº 58,5,31.191568659618497
15,Centro Deportivo Municipal Cerro Almodóvar,CALLE CERRO DE ALMODOVAR 9,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18,808.3797150002792
16,Centro Deportivo Municipal Chamartín,AVENIDA PIO XII 2,206 - Metro Tetuán,Calle Marqués de Viana nº 3,5,42.66857235133648
17,Centro Deportivo Municipal Circuito BMX,CALLE EMBAJADORES 316,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18,379.7100293263793
18,Centro Deportivo Municipal Ciudad de los Poetas,CALLE ANTONIO MACHADO 12,209 - Plaza de Castilla 2,Paseo Castellana (Fundación Canal),9,27.02593233715743
19,Centro Deportivo Municipal Concepción,CALLE JOSE DEL HIERRO 5,194 - Avenida de América 2,Calle Francisco Silvela nº 86,3,0.7258556820452213
20,Centro Deportivo Municipal Daoíz y Velarde 1,PLAZA DAOÍZ Y VELARDE 5,225 - Doctor Lozano,Calle Sierra Toledana nº 33,9,12.626487094908953
21,Centro Deportivo Municipal Daoíz y Velarde 2,CALLE ALBERCHE 21,78 - Pedro Bosch,Calle Cerro de la Plata nº 2,10,1.1343135861679912
22,Centro Deportivo Municipal El Espinillo,CARRETERA VILLAVERDE A VALLECAS 19,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18,3629.9126439364627
23,Centro Deportivo Municipal El Olivillo,CALLE OLIVILLO 4,77 - Conde de Casal,Plaza del Conde de Casal nº 8,2,19.44776157476008
24,Centro Deportivo Municipal El Quijote,CALLE NUMANCIA 11,205 - Estrecho,Calle Navarra nº 1,0,8.690788395702839
25,Centro Deportivo Municipal Entrevías,RONDA SUR 4,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18,1172.9497961336747
26,Centro Deportivo Municipal Escuelas de San Antón,CALLE FARMACIA 13,26 - Plaza de las Salesas,Plaza de las Salesas 7,20,3.1502070520073175
27,Centro Deportivo Municipal Estadio de Atletismo Vallehermoso,CALLE MELQUIADES ALVAREZ 19 esquina con calle Jesús Maestro,131 - Bravo Murillo 44,Calle Bravo Murillo nº 44,4,40.389341733418405
28,Centro Deportivo Municipal Estanque del Retiro,PASEO COLOMBIA 2,56 - Plaza del Carmen ,Plaza del Carmen nº 1,0,1.8708310006186366
29,Centro Deportivo Municipal Fabián Roncero,AVENIDA SEPTIMA 68,149 - Paseo de la Habana 42,Paseo de la Habana nº 42,5,22.760255691595376
30,Centro Deportivo Municipal Faustina Valladolid (antiguo Valdebernardo),CALLE LADERA DE LOS ALMENDROS 2,168 - Batalla del Salado,Paseo Santa María de la Cabeza nº 29,13,31.45771111920476
31,Centro Deportivo Municipal Fernando Martín,AVENIDA SANTO ANGEL DE LA GUARDA 6,206 - Metro Tetuán,Calle Marqués de Viana nº 3,5,20.61688434332609
32,Centro Deportivo Municipal Francisco Fernández Ochoa,CALLE CATORCE OLIVAS 1,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18,2575.068088877015
33,Centro Deportivo Municipal Fuente del Berro,CALLE ELVIRA 36,19 - Prim,Calle Prim nº 2,0,15.81086882762611
34,Centro Deportivo Municipal Félix Rubio,CALLE ALIANZA 4,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18,3508.8261195058003
35,Centro Deportivo Municipal Gallur,CALLE GALLUR 2,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2,24.360274044796824
36,Centro Deportivo Municipal Gimnasio Moscardó,CALLE PILAR DE ZARAGOZA 93,241 - Camilo José Cela,Avenida de Camilo José Cela nº 23,12,16.173572859726846
37,Centro Deportivo Municipal Hortaleza,CARRETERA ESTACION DE HORTALEZA 11,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,11,72.58849664777517
38,Centro Deportivo Municipal José María Cagigal,CALLE SANTA POLA 22,144 - Juan Bravo 50,Calle Juan Bravo nº 50,6,24.039062451571226
39,Centro Deportivo Municipal Juan de Dios Román,CALLE JOSE GUTIERREZ MAROTO 34,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18,2786.7927488796413
