,Sports spot,Sports Address,BiciPark spot,Address BiciPark,Available bikes,Distance in m
0,Campo de Golf del Centro Nacional de Golf,CALLE ARROYO DEL MONTE 5,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,1,91.76877647265792
1,Campo de Golf del Club de Golf Olivar de la Hinojosa,CALLE VIA DE DUBLIN  SIN NÚMERO,Bicipark Recuerdo,"Calle Hiedra, 26",0,384.4201567908749
2,Centro Comercial Dreams - Palacio Municipal de Hielo,CALLE SILVANO 77,Bicipark Recuerdo,"Calle Hiedra, 26",0,1062.7388518964872
3,Centro Deportivo Municipal  María Jesús Rosa (La Vaguada),AVENIDA MONFORTE DE LEMOS 38,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,1,658.5901998998597
4,Centro Deportivo Municipal Alcántara,CALLE ALCANTARA 26,Bicipark Salamanca,Pl. del Marqués de Salamanca,6,246.24813336320221
5,Centro Deportivo Municipal Alfredo Goyeneche,CALLE ARROYO DE POZUELO 99,Bicipark Orense,"Avenida General Perón, 27",6,94.80523002054542
6,Centro Deportivo Municipal Aluche,AVENIDA DE LAS AGUILAS 14,Bicipark Aviación,Parking Aviación Española,0,85.82719439826906
7,Centro Deportivo Municipal Antiguo Canódromo,CALLE VIA CARPETANA 57,Bicipark Aviación,Parking Aviación Española,0,1616.867577967234
8,Centro Deportivo Municipal Antonio Díaz Miguel,CALLE JOAQUIN DICENTA 1,Bicipark Recuerdo,"Calle Hiedra, 26",0,129.65761121269315
9,Centro Deportivo Municipal Barajas,AVENIDA LOGROÑO 70,Bicipark Recuerdo,"Calle Hiedra, 26",0,1046.9789471141994
10,Centro Deportivo Municipal Barceló,MERCADO BARCELO 6 PLANTA 4º,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",2,122.75127642974257
11,Centro Deportivo Municipal Blanca Fernández Ochoa (La Mina),CALLE MONSEÑOR OSCAR ROMERO 41,Bicipark Aviación,Parking Aviación Española,0,123.4874408096075
12,Centro Deportivo Municipal Casa de Campo,PASEO PUERTA DEL ANGEL 7,Bicipark Canalejas,-,0,187.1712680067867
13,Centro Deportivo Municipal Cea Bermúdez,CALLE CEA BERMUDEZ 3,Bicipark Almagro,"Calle Almagro, 11",4,914.89549379237
14,Centro Deportivo Municipal Centro Integrado Arganzuela,CALLE CANARIAS 17,Bicipark Canalejas,-,0,1751.598536675796
15,Centro Deportivo Municipal Cerro Almodóvar,CALLE CERRO DE ALMODOVAR 9,Bicipark Aviación,Parking Aviación Española,0,200.74405561666936
16,Centro Deportivo Municipal Chamartín,AVENIDA PIO XII 2,Bicipark Orense,"Avenida General Perón, 27",6,908.4225161485374
17,Centro Deportivo Municipal Circuito BMX,CALLE EMBAJADORES 316,Bicipark Aviación,Parking Aviación Española,0,227.9256300572306
18,Centro Deportivo Municipal Ciudad de los Poetas,CALLE ANTONIO MACHADO 12,Bicipark Recuerdo,"Calle Hiedra, 26",0,723.3898870507255
19,Centro Deportivo Municipal Concepción,CALLE JOSE DEL HIERRO 5,Bicipark Almagro,"Calle Almagro, 11",4,767.6058277562261
20,Centro Deportivo Municipal Daoíz y Velarde 1,PLAZA DAOÍZ Y VELARDE 5,Bicipark Canalejas,-,0,1718.5242789024487
21,Centro Deportivo Municipal Daoíz y Velarde 2,CALLE ALBERCHE 21,Bicipark Canalejas,-,0,1893.376032709144
22,Centro Deportivo Municipal El Espinillo,CARRETERA VILLAVERDE A VALLECAS 19,Bicipark Aviación,Parking Aviación Española,0,3022.276984552853
23,Centro Deportivo Municipal El Olivillo,CALLE OLIVILLO 4,Bicipark Canalejas,-,0,1256.0148964188993
24,Centro Deportivo Municipal El Quijote,CALLE NUMANCIA 11,Bicipark Orense,"Avenida General Perón, 27",6,67.35616004373878
25,Centro Deportivo Municipal Entrevías,RONDA SUR 4,Bicipark Aviación,Parking Aviación Española,0,565.3141367500648
26,Centro Deportivo Municipal Escuelas de San Antón,CALLE FARMACIA 13,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",2,198.29327441193163
27,Centro Deportivo Municipal Estadio de Atletismo Vallehermoso,CALLE MELQUIADES ALVAREZ 19 esquina con calle Jesús Maestro,Bicipark Orense,"Avenida General Perón, 27",6,1198.9082853691652
28,Centro Deportivo Municipal Estanque del Retiro,PASEO COLOMBIA 2,Bicipark Montalban,"Calle de Montalbán, 5",1,32.28331588488072
29,Centro Deportivo Municipal Fabián Roncero,AVENIDA SEPTIMA 68,Bicipark Orense,"Avenida General Perón, 27",6,369.15311519335955
30,Centro Deportivo Municipal Faustina Valladolid (antiguo Valdebernardo),CALLE LADERA DE LOS ALMENDROS 2,Bicipark Canalejas,-,0,1515.9561089249328
31,Centro Deportivo Municipal Fernando Martín,AVENIDA SANTO ANGEL DE LA GUARDA 6,Bicipark Orense,"Avenida General Perón, 27",6,886.370828140527
32,Centro Deportivo Municipal Francisco Fernández Ochoa,CALLE CATORCE OLIVAS 1,Bicipark Aviación,Parking Aviación Española,0,1967.432429493405
33,Centro Deportivo Municipal Fuente del Berro,CALLE ELVIRA 36,Bicipark Recoletos,"Paseo de Recoletos, 2",7,152.01439549215138
34,Centro Deportivo Municipal Félix Rubio,CALLE ALIANZA 4,Bicipark Aviación,Parking Aviación Española,0,2901.1904601221904
35,Centro Deportivo Municipal Gallur,CALLE GALLUR 2,Bicipark Aviación,Parking Aviación Española,0,1666.9332393333316
36,Centro Deportivo Municipal Gimnasio Moscardó,CALLE PILAR DE ZARAGOZA 93,Bicipark Almagro,"Calle Almagro, 11",4,844.279264871031
37,Centro Deportivo Municipal Hortaleza,CARRETERA ESTACION DE HORTALEZA 11,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,1,663.0048119174317
38,Centro Deportivo Municipal José María Cagigal,CALLE SANTA POLA 22,Bicipark Almagro,"Calle Almagro, 11",4,199.1008568443358
39,Centro Deportivo Municipal Juan de Dios Román,CALLE JOSE GUTIERREZ MAROTO 34,Bicipark Aviación,Parking Aviación Española,0,2179.1570894960314
40,Centro Deportivo Municipal La Almudena,CALLE NICOLAS SALMERÓN 8,Bicipark Recoletos,"Paseo de Recoletos, 2",7,28.10802626889199
41,Centro Deportivo Municipal La Bombilla,CALLE SENDA DEL REY 8,Bicipark Almagro,"Calle Almagro, 11",4,257.326180100441
42,Centro Deportivo Municipal La Cebada (antigua La Latina),PLAZA CEBADA 15,Bicipark Canalejas,-,0,808.3567041326314
43,Centro Deportivo Municipal La Chopera,PASEO FERNAN NUÑEZ 3,Bicipark Canalejas,-,0,683.2086252691224
44,Centro Deportivo Municipal La Elipa,CALLE ALCALDE GARRIDO JUARISTI 17,Bicipark Canalejas,-,0,386.9953430145979
45,Centro Deportivo Municipal La Fundi,CALLE ALICANTE 14,Bicipark Aviación,Parking Aviación Española,0,1211.784219134599
46,Centro Deportivo Municipal La Masó,CALLE MASO 80 C/V Ventisquero de la Condesa,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,1,28.69824032764882
47,Centro Deportivo Municipal Lago Casa de Campo,PASEO EMBARCADERO 8,Bicipark Canalejas,-,0,88.45207360200584
48,Centro Deportivo Municipal Las Cruces,AVENIDA POBLADOS 72,Bicipark Aviación,Parking Aviación Española,0,483.4136409983039
49,Centro Deportivo Municipal Los Prunos,CALLE PETUNIAS 30,Bicipark Orense,"Avenida General Perón, 27",6,31.6652129907161
50,Centro Deportivo Municipal Luis Aragonés,CALLE EL PROVENCIO 20,Bicipark Recuerdo,"Calle Hiedra, 26",0,864.7355871060863
51,Centro Deportivo Municipal Margot Moles (Vicálvaro),PASEO POLIDEPORTIVO 3,Bicipark Canalejas,-,0,964.812418221496
52,Centro Deportivo Municipal Marqués de Samaranch,PASEO IMPERIAL 20,Bicipark Canalejas,-,0,1134.6419318132102
